Days,Open,High,Low,Close,Volume
20102,	1312.94,	1322.09,	1274.29,	1310.5,	6544690000.00
20101,	1333.9,	1350.28,	1312.51,	1325.19,	6004840000.00
20100,	1374.79,	1377.72,	1330.67,	1333.25,	5303130000.00
20099,	1377.41,	1391.99,	1364.27,	1373.2,	5440620000.00
20098,	1411.88,	1411.88,	1380.6,	1380.95,	4601640000.00
20097,	1402.91,	1417.89,	1402.91,	1416.25,	3682090000.00
20096,	1419.91,	1419.91,	1394.83,	1401.02,	4495840000.00
20095,	1406.78,	1429.09,	1395.31,	1420.33,	5170490000.00
20094,	1390.25,	1409.19,	1378.7,	1409.13,	5351030000.00
20093,	1415.71,	1430.28,	1388.3,	1390.19,	4705390000.00
20092,	1414.07,	1423.87,	1403.45,	1416.18,	4221260000.00
20091,	1444.01,	1444.01,	1411.19,	1411.63,	4166000000.00
20090,	1447.55,	1456.8,	1443.73,	1447.16,	3429500000.00
20089,	1467.97,	1471.77,	1442.07,	1447.16,	3452650000.00
20088,	1475.25,	1475.83,	1465.13,	1468.36,	2440880000.00
20087,	1479.83,	1488.01,	1471.7,	1478.49,	2420510000.00
20086,	1495.05,	1495.05,	1475.86,	1476.27,	2365770000.00
20085,	1495.12,	1498.85,	1488.2,	1497.66,	2010500000.00
20084,	1484.55,	1497.63,	1484.55,	1496.45,	1267420000.00
20083,	1463.19,	1485.4,	1463.19,	1484.46,	4508590000.00
20082,	1456.42,	1461.53,	1447.22,	1460.12,	3526890000.00
20081,	1454.7,	1464.42,	1445.31,	1453,	3401300000.00
20080,	1445.92,	1460.16,	1435.65,	1454.98,	3723690000.00
20079,	1465.05,	1465.05,	1445.43,	1445.9,	3569030000.00
20078,	1486.19,	1486.67,	1467.78,	1467.95,	3401050000.00
20077,	1483.27,	1489.4,	1469.21,	1488.41,	3635170000.00
20076,	1487.58,	1511.96,	1468.23,	1486.59,	4482120000.00
20075,	1516.68,	1523.57,	1475.99,	1477.65,	4080180000.00
20074,	1505.11,	1518.27,	1504.96,	1515.96,	2911760000.00
